year,AG_LND_AGRI_ZS,AG_LND_ARBL_ZS,AG_LND_EL5M_ZS,AG_LND_FRST_K2,AG_LND_FRST_ZS,AG_LND_IRIG_AG_ZS,AG_YLD_CREL_KG,BM_GSR_ROYL_CD,BN_CAB_XOKA_CD,BX_GRT_EXTA_CD_WD,BX_GRT_TECH_CD_WD,BX_GSR_ROYL_CD,BX_KLT_DINV_CD_WD,BX_TRF_PWKR_CD_DT,DT_DOD_DECT_CD,DT_DOD_DECT_GN_ZS,DT_DOD_DSTC_ZS,DT_ODA_ODAT_CD,DT_ODA_ODAT_GN_ZS,DT_ODA_ODAT_PC_ZS,DT_TDS_DECT_EX_ZS,EG_ELC_ACCS_ZS,EG_ELC_RNEW_ZS,EG_FEC_RNEW_ZS,EG_USE_ELEC_KH_PC,EG_USE_PCAP_KG_OE,EN_POP_EL5M_ZS,ER_H2O_FWTL_K3,ER_PTD_TOTL_ZS,FI_RES_TOTL_CD,FP_CPI_TOTL_ZG,GC_DOD_TOTL_GD_ZS,GC_REV_XGRT_GD_ZS,GC_XPN_TOTL_GD_ZS,NE_EXP_GNFS_ZS,NE_GDI_TOTL_ZS,NE_IMP_GNFS_ZS,NV_AGR_TOTL_ZS,NV_IND_TOTL_ZS,NV_MNF_TECH_ZS_UN,NY_ADJ_SVNG_GN_ZS,NY_GDP_DEFL_KD_ZG,NY_GDP_MKTP_CD,NY_GDP_MKTP_KD_ZG,NY_GDP_PCAP_CD,NY_GDP_PCAP_KD_ZG,NY_GDP_PCAP_PP_CD,NY_GNP_ATLS_CD,NY_GNP_MKTP_PP_CD,NY_GNP_PCAP_CD,NY_GNP_PCAP_PP_CD,NY_GNS_ICTR_ZS,PA_NUS_PPP,PA_NUS_PRVT_PP,SE_ADT_1524_LT_FE_ZS,SE_ADT_1524_LT_MA_ZS,SE_ADT_LITR_FE_ZS,SE_ADT_LITR_MA_ZS,SE_PRE_ENRR,SE_PRM_ENRL_TC_ZS,SE_PRM_ENRR,SE_PRM_GINT_FE_ZS,SE_PRM_GINT_MA_ZS,SE_PRM_REPT_FE_ZS,SE_PRM_REPT_MA_ZS,SE_PRM_TCAQ_ZS,SE_PRM_UNER_FE,SE_PRM_UNER_MA,SE_SEC_ENRR,SE_XPD_PRIM_PC_ZS,SE_XPD_SECO_PC_ZS,SE_XPD_TERT_PC_ZS,SE_XPD_TOTL_GD_ZS,SL_TLF_TOTL_FE_ZS,SL_TLF_TOTL_IN,SL_UEM_TOTL_FE_ZS,SL_UEM_TOTL_ZS,SP_POP_GROW,SP_POP_TOTL,SP_URB_TOTL,SP_URB_TOTL_IN_ZS,country
2008,45.1337754252019,17.6861677937604,,3076832.0,33.6360635020585,5.4098017947332,6598.3,27764000000.0,-696526000000.0,,,89672000000.0,341092000000.0,5364000000.0,,,,,,,,100.0,9.00354134718557,6.8,13663.4279681827,7488.08192070473,,442.72,,294045673779.627,3.839100296651,63.814672066672,17.7131499265193,22.7876198166239,12.4258439246081,21.0374883665128,17.441943601098,1.05300030562235,20.7935016115926,49.8575410833301,1.65619240536501,1.92670969899538,14769862000000.0,0.113587248258867,48570.0594269601,-0.828888121072325,48570.0594269601,14935235756547.4,14723881000000.0,49110.0,48420.0,15.0588069137003,1.0,1.0,,,,,,,,,,,,,,,,,,,6.43608617782593,45.3082478404308,158272885.0,5.414,5.784,0.945865287282592,304093966.0,244607104.0,80.438,USA
2009,45.1337754252019,17.6821909347116,,3082016.0,33.6927352193296,,7226.2,29421000000.0,-379736000000.0,,,85730000000.0,161083000000.0,5740000000.0,,,,,,,,100.0,10.2918450711157,7.3,12913.7146883015,7056.78365282718,,430.76,,404098925258.352,-0.355546266299747,75.8415954284505,15.6666480407916,25.5765165335953,10.9322190593537,17.768753245858,13.8273085764833,0.960285754997542,19.2684745484325,45.7472330597007,0.745057335652569,0.61678071512577,14478067000000.0,-2.57650023426996,47194.9500893872,-3.42683194254013,47194.9500893872,14697125884560.2,14436590000000.0,47910.0,47060.0,13.8930493967185,1.0,1.0,,,,,,,,,,,,,,,,,,,6.73869848251343,45.5353906984188,158353162.0,8.046,9.254,0.876651298802912,306771529.0,247276259.0,80.606,USA
2010,45.1337754252019,17.6800866255185,,3087200.0,33.7494069366007,,6978.1,31115000000.0,-432002000000.0,,,94968000000.0,264039000000.0,5930000000.0,,,,,,,,100.0,10.1203551472397,7.4,13394.9027551068,7161.42655156518,,418.7,,488928508742.44,1.6400434423899,84.9639420529151,16.4034431324241,26.0545933672143,12.3413554322086,18.6722135353972,15.878527508625,1.02943688973818,19.3102488269796,46.4771836293327,2.75687491477039,1.21528668186946,15048971000000.0,2.6951925838264,48650.6643227232,1.8467404584986,48650.6643227232,15214983016009.0,15185160000000.0,49190.0,49090.0,15.3832511206248,1.0,1.0,,,,,,,,101.43102,104.46578,,,,,,,22.05341,24.28969,20.83643,6.6945538520813,45.545424669685,158304024.0,8.601,9.633,0.829616674709795,309327143.0,249849720.0,80.772,USA
2011,45.1337754252019,17.6787031753216,,3089950.0,33.7794700582241,,6803.5,32912000000.0,-455297000000.0,,,107053000000.0,263497000000.0,6104000000.0,,,,,,,,100.0,12.2257135163932,8.4,13245.8819278677,7029.95460147645,,423.9192223549,,537267041107.474,3.156841568622,89.5463716940778,16.6294350441405,25.3456995286842,13.5634637825829,19.0335385248926,17.2790147933311,1.20055880447177,19.4074975198292,45.9967531843142,3.8793915565532,2.06310947543149,15599732000000.0,1.56440685438301,50065.9789470675,0.82892617390047,50065.9789470675,15786542027248.9,15861958000000.0,50670.0,50910.0,16.3373255386695,1.0,1.0,,,,,,,,103.04991,100.52597,,,,,,,20.85277,23.89396,20.04063,6.49768352508545,45.4504371653096,158407011.0,8.453,8.949,0.726786704810745,311583481.0,252208133.0,80.944,USA
2012,45.4096248450383,16.9341433431503,,3092700.0,33.8095331798474,5.60433187991234,5911.9,35061000000.0,-418112000000.0,,,107869000000.0,250345000000.0,6303000000.0,,,,,,,,100.0,12.0073970634651,8.5,12964.1879389302,6872.02728367462,,429.0384447098,,574268084132.447,2.06933726526067,93.6488624010011,16.7477397829576,23.9119039840728,13.6440512687054,19.9507258841994,17.0377883064876,1.14932980065793,19.1626139460083,46.0518622857238,5.86993137373426,1.8621649281277,16253970000000.0,2.28911338767897,51784.4114692048,1.54146623449969,51784.4114692048,16537791097888.9,16640301000000.0,52690.0,53020.0,18.3792944123805,1.0,1.0,,,,,,,,97.39879,104.9813,,,,,,,20.5226,22.76782,21.89296,6.25388622283936,45.2997304845044,159448346.0,7.888,8.069,0.733599941250847,313877662.0,254614421.0,81.119,USA
2013,45.4692938992634,16.9903285735213,,3095450.0,33.8395963014708,,7300.9,35294000000.0,-339455000000.0,,,113824000000.0,288131000000.0,6613000000.0,,,,,,,,100.0,12.6379191222813,8.9,13004.0235689845,6905.59863316056,,434.1576670647,,448508920737.711,1.46483265562717,95.322114632447,18.7407120908556,22.8814639786791,13.5534918818154,20.3792642750296,16.3878144030073,1.31815003575389,19.1988903588794,45.7751934101166,7.26097305300179,1.70188036067233,16880683000000.0,2.11783009919849,53409.7507774372,1.41274167855774,53409.7507774372,17023065746103.9,17140708000000.0,53860.0,54230.0,18.5633187946246,1.0,1.0,,,,,71.5239562988281,,99.455436706543,99.4304,102.58933,,,,377311.0,334205.0,96.1864929199219,19.71867,22.58939,20.41236,6.22925806045532,45.1784568524937,159795573.0,7.067,7.375,0.692860276624581,316059947.0,256953576.0,81.299,USA
2014,45.5289629534885,17.0496535963146,,3098200.0,33.8696594230942,,7638.1,37562000000.0,-369978000000.0,,,116380000000.0,251856000000.0,6503000000.0,,,,,,,,100.0,12.9538270902926,9.0,12993.9655794706,6960.68399657951,,439.2768894196,,434416188744.625,1.62222297740817,95.4538236808457,18.8588452680232,22.6100726834376,13.5082142132235,20.9011935276745,16.3983551242045,1.16824049198161,19.2684337605714,47.0381986450065,8.10795858648646,1.74161805258845,17608138000000.0,2.52381981441982,55304.3155317137,1.77469980748791,55304.3155317137,17725038819059.4,17984237000000.0,55670.0,56490.0,19.656661027986,1.0,1.0,,,,,64.7829437255859,14.53749,99.6733779907227,101.98587,102.2777,,,100.0,,,96.9245376586914,19.7888,22.36455,21.16585,6.12920570373535,45.1985747878809,160437311.0,6.057,6.168,0.733361519937424,318386329.0,259430732.0,81.483,USA
2015,45.5886320077136,17.103561900514,1.45540481308153,3100950.0,33.8997225447175,,7430.1,35178000000.0,-408447000000.0,,,111151000000.0,511434000000.0,6578000000.0,,,,,,,,100.0,13.2285932109672,8.9,,6803.99660728499,1.98031592664397,444.3961117745,,383728497570.133,0.118627135552451,95.9558008657985,18.9953587913738,22.3735356601707,12.4111486301271,21.4151895660781,15.2770653039497,1.02890409132672,18.4967127664639,46.5985571916309,7.5143394375099,0.928042794757729,18295019000000.0,2.94555045455233,57040.2082136605,2.19043056582386,57040.2082136605,18124085517102.0,18608138000000.0,56510.0,58020.0,19.6984272057875,1.0,1.0,,,,,72.0273590087891,14.45723,100.299911499023,103.87874,101.793,,,100.0,231900.0,214356.0,97.6525497436523,19.76064,21.68055,21.52057,4.93063020706177,45.0678003283855,161385944.0,5.175,5.28,0.73621730882542,320738994.0,261950744.0,81.671,USA
2016,45.6483010619388,17.154019176992,,3100950.0,33.8997225447175,,8614.2,41974000000.0,-396219000000.0,,,112981000000.0,474388000000.0,6330000000.0,,,,,,,,100.0,,9.3,,,,444.3961117745,26.326199718432,405942428719.749,1.26158320570536,97.9285891936857,18.540821220497,22.4159218391492,11.8881592273253,20.8879562484549,14.5644385592212,0.937140437714336,17.9368724917791,46.2453530316454,6.22751194366517,0.950322479212474,18804913000000.0,1.81945147474293,58206.6141931844,1.08425738313417,58206.6141931841,18433936457653.3,18983368999999.9,57060.0,58760.0,18.5586926139993,1.0,1.0,,,,,71.937370300293,,101.362861633301,,,,,100.0,52078.0,36772.0,98.7699279785156,19.85908,22.1348,19.42953,4.78327989578247,45.0251658140227,163238908.0,4.786,4.869,0.724676067451429,323071755.0,264473000.0,81.862,USA
2017,45.7079701161639,17.2100806566223,,3097950.0,33.8669264120375,5.78551729401439,8281.3,44406000000.0,-367614000000.0,,,118147000000.0,380823000000.0,6347000000.0,,,,,,,,100.0,,9.7,,,,444.3961117745,26.328083601169,451285263406.24,2.13011000365961,97.0213034788418,19.2095273622379,22.1406996557534,12.177481026766,21.1557690246563,14.9478571955214,0.940362226343714,18.3087442284361,46.570789769135,6.91702485995076,1.79080328489228,19612102000000.0,2.45762230322211,60322.2614241747,1.8114763650572,60322.261424175,19224810445224.5,19837150000000.1,59130.0,61010.0,18.9790569108808,1.0,1.0,,,,,72.93408203125,14.19857,101.821441650391,,,1.55674,1.65861,100.0,,,98.9523391723633,,,,5.09296989440918,45.1335926578666,164843640.0,4.307,4.355,0.63264399508256,325122128.0,266788716.0,82.058,USA
2018,45.5834063593888,17.0874460776919,,3097950.0,33.8669264120375,,8196.0,42736000000.0,-439851000000.0,,,114819000000.0,214715000000.0,6941000000.0,,,,,,,,100.0,,9.9,,,,444.3961117745,26.328083601169,449907088828.546,2.44258329692817,98.4494626296129,17.4793585714067,22.1694791125473,12.2871107596266,21.5690729259474,15.1582483706352,0.898498260790929,18.5195461519261,45.5351511197855,6.78096039525529,2.29089027694276,20656516000000.0,2.96650506916633,63201.0458483771,2.42587721764475,63201.0458483768,20709154892243.2,20883382999999.9,63360.0,63900.0,19.2320912200296,1.0,1.0,,,,,72.1459197998047,,101.256561279297,,,,,100.0,76669.0,64864.0,99.2755813598633,,,,4.89502000808716,45.120003077894,166139572.0,3.836,3.896,0.526435395564053,326838199.0,268844029.0,82.256,USA
2019,45.4588425916816,16.9550279641691,,3097950.0,33.8669264120375,,8005.5,42273000000.0,-441748000000.0,,,122533000000.0,315984000000.0,7049000000.0,,,,,,,,100.0,,10.2,,,,444.3961117745,26.3281159177314,516700583371.247,1.81221007526021,100.032349144953,17.2908473182568,22.5164895680971,11.7891974097286,21.6698091948266,14.4692832148142,0.83262086291437,18.1454838448797,45.2319241312387,6.8193107835938,1.65046566913496,21539982000000.0,2.58382533018855,65604.6815198734,2.11773982573379,65604.6815198737,21742145001993.8,21764838000000.1,66220.0,66290.0,19.4312325794887,1.0,1.0,,,,,72.2141723632813,,100.981300354004,,,,,100.0,101961.0,123016.0,100.063430786133,,,,4.95746994018555,45.2120605001542,167950514.0,3.608,3.669,0.455381285963537,328329953.0,270737596.0,82.459,USA
2020,45.3342788349064,16.8251728793474,,3097950.0,33.8669264120375,,8144.5,45026000000.0,-601207000000.0,,,115935000000.0,137066000000.0,6827000000.0,,,,,,,,100.0,,11.0,,,,444.3961117745,23.9458352965842,628369715338.322,1.23358439630629,124.550890800621,17.7463972383764,31.648931200816,10.0736556273372,21.4188185362955,13.0061222420701,0.935800226701142,17.2676773903659,45.0884458180873,5.69015783378962,1.32883273821459,21354105000000.0,-2.16302913866514,64411.3731779373,-3.10649046252769,64411.3731779373,21424785397695.3,21458070000000.0,64620.0,64720.0,18.3867832437838,1.0,1.0,,,,,72.3956832885742,,100.305793762207,,,,,100.0,243827.0,245238.0,100.509819030762,,,,5.39998006820679,45.1999446113541,166539547.0,8.356,8.055,0.968999515833015,331526933.0,274053424.0,82.664,USA
2008,13.7152263374486,11.8189300411523,,249480.0,68.4444444444444,32.4851976316211,6262.4,18311541938.9621,142115935666.067,,,25700583119.7173,24624845329.5648,1732378922.50103,,,,,,,,100.0,8.78932661054861,4.4,8270.00773057011,3858.43452050944,,81.986,,1030762755205.19,1.3800788616492,138.574274218025,,15.2644121011595,17.2355433764071,25.869579962101,16.8939331648175,1.05410176653648,28.7829764402439,53.7964862909858,5.86202909559886,-0.911530288285164,5106679115127.3,-1.22428900072828,39876.3039685725,-1.27210994887062,35273.791152156,5043537859644.5,4638617178018.89,39380.0,36220.0,28.6421074070242,116.845814,129.06067,,,,,,,,,,,,,,,,,,,3.27241992950439,41.319241161199,66611354.0,3.854,4.002,0.0484253945978966,128063000.0,114107975.0,89.103,JPN
